"longitude","latitude","landuse","mean_temp","mean_pres","site_id","MOCH","MOBL","LEWO","BBMW","Evergreen_forest","Open_shrub","Wood_sav","Sav","Grass","crop","urban"
-122.69167,40.66911,8,130.75,98.75,206,0,0,0,0,0,0,1,0,0,0,0
-122.6244995,38.0413021,8,132.66667175293,87.4166641235352,208,0,0,0,0,0,0,1,0,0,0,0
-122.6440716,38.1163263,8,138,71.8333358764648,209,0,0,0,0,0,0,1,0,0,0,0
-122.614975,38.1522424,8,136.91667175293,79.4166641235352,210,0,0,1,0,0,0,1,0,0,0,0
-122.6233864,38.1998782,12,138.5,70.8333358764648,211,0,0,0,0,0,0,0,0,0,1,0
-122.6371,38.23242,13,140.33332824707,56.0833320617676,212,0,0,0,0,0,0,0,0,0,0,1
-122.6445007,38.3442479,12,139.5,70.8333358764648,213,0,0,0,0,0,0,0,0,0,1,0
-122.6250601,38.4476903,8,139.33332824707,86.75,214,0,0,0,0,0,0,1,0,0,0,0
-122.6369476,38.4955187,8,138.33332824707,91.75,215,0,0,0,0,0,0,1,0,0,0,0
-122.610525,38.651907,8,116.083335876465,97.25,216,0,0,0,0,0,0,1,0,0,0,0
-122.6307678,38.7369461,8,140.25,88.3333358764648,217,0,0,0,0,0,0,1,0,0,0,0
-122.6444149,38.9357117,1,139,61.4166679382324,218,0,0,0,0,1,0,0,0,0,0,0
-122.6367438,40.664803,8,151.58332824707,111.25,219,0,0,0,0,0,0,1,0,0,0,0
-122.6457453,40.6962801,8,140.5,107.75,220,0,0,0,0,0,0,1,0,0,0,0
-122.616778,40.754663,8,138.83332824707,109.5,221,0,0,0,0,0,0,1,0,0,0,0
-122.644359,41.311931,1,50.0833320617676,78.4166641235352,222,0,0,0,0,1,0,0,0,0,0,0
-122.5646764,37.9658243,8,142.83332824707,88.5833358764648,225,0,0,0,0,0,0,1,0,0,0,0
-122.5904059,37.9873775,13,141.33332824707,86,226,0,0,0,0,0,0,0,0,0,0,1
-122.5861359,38.1488676,8,135,85.6666641235352,227,0,0,0,0,0,0,1,0,0,0,0
-122.5854573,38.2256152,13,142.25,56.75,229,0,0,0,0,0,0,0,0,0,0,1
-122.5903842,38.3097606,8,134.25,91.8333358764648,230,0,0,0,0,0,0,1,0,0,0,0
-122.5993538,38.3427333,8,131.66667175293,95.1666641235352,231,0,0,0,0,0,0,1,0,0,0,0
-122.5566959,38.4267985,13,143.91667175293,75.0833358764648,232,0,0,0,0,0,0,0,0,0,0,1
-122.568959,38.5170958,1,133.58332824707,93.5,233,0,0,0,0,1,0,0,0,0,0,0
